biblioteca,departamento,nro_registro,domicilio,localidad,provincia,lat,long
Bib.Pop. 12 de Octubre,,0019,Calle Arengreen 1187 Caballito,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.613235,-58.448997
Bib. Pop. Por caminos de libros y solidaridad,,3884,Martinez Castro y Pasaje D  Ramón Carrillo,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.642677,-58.473667
Federación de Bibliotecas Populares de la Capital Federal,,FE 02,Guemes 4621 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.581211,-58.423875
Bib.Pop. Dr. Angel M. Giménez,,2675,Suárez 1301 La Boca,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.638103,-58.370514
Bib.Pop. El progreso,,1975,Av.de la Riestra 5655 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.676811,-58.474941
Bib.Pop. Dr. Tristán J. González,,1344,P.Goyena 1579 Caballito,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.628075,-58.450001
Bib.Pop. Cornelio Saavedra,,0077,García del Río 2735 Saavedra,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.549038,-58.472504
Bib.Pop. José Enrique Rodo,,0078,Andalgalá 2051 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.660057,-58.509514
Asoc. Cultural y Bib. Pop. Tesis 11,,4252,Junín 165 Congreso,Ciudad de Bs. As.,Ciudad Autónoma de Buenos Aires,-34.607533,-58.396416
Bib. Pop. La Memoria de Nuestro Pueblo,,4266,Carlos Calvo 1459 Constitución,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.61995,-58.386733
Bib.Pop. Manuel Ugarte,,4295,Del Barco Centenera 1359 Parque Chacabuco,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.634816,-58.435006
Bib.Pop. Creando Horizontes Educativos,,4268,Albarellos 2985 Villa Pueyrredón,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.5771,-58.509167
Bib. Pop. Juan Jose Castelli,,4318,Peron 1591 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.615516,-58.397848
Bib. Pop. 26 de julio,,4341,Avda. Eva Perón 1800 Parque Chacabuco,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.635616,-58.448483
Bib. Pop. Amigos de la Estacion Coghlan,,4404,Estomba 2649  Coghlan,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.56554827883184,-58.47545120489127
Bib.Pop. Helena Larroque de Roffo,,0018,Simbrón 3058 Villa del Parque,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.598461,-58.49469
Bib. Obrera Juan B. Justo,,0025,Av.La Plata 85 Caballito,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.616176,-58.429155
Bib.Pop. Villa Pueyrredón Norte,,0028,Cockrane 2334 Villa Pueyrredón,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.57589,-58.501591
Bib.Pop. Alberdi,,0032,Acevedo 666 Villa Crespo,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.596157,-58.437668
Cen. Cult. y Bib. Pop. Carlos Sanchez Viamonte,,4207,Austria 2156 Recoleta,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.587597,-58.403469
Bib. Pop. Federico Lacroze,,4197,Thompson esq. Valle 502 Caballito,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.624882,-58.439259
Bib.Pop. Hijos del Barrio Piedrabuena Asociación Civil,,4034,Calle 2 de abril de 1982 6730 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.678028,-58.491161
Bib.Pop. Lectores del pueblo,,3982,San Pedrito 1026 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.642231,-58.461655
Bib.Pop. Dr. Arturo Jauretche,,4006,Perú 823 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.617542,-58.374439
Bib.Pop. Casa de la Cultura de Liniers,,3270,Pieres 226 Liniers,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.642502,-58.515217
Bib.Pop. Juan Bautista Alberdi,,3019,Brandsen 805 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.636627,-58.364746
Bib. Argentina para ciegos,,2992,Lezica 3909  Almagro,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.610844,-58.421326
Bib.Pop. Juan B. Rebagliati,,2994,La Facultad 1772  ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.652039,-58.47279
Bib.Pop. Universidad Popular de Belgrano Alfredo Fazio y Bi,,2916,Céspedes 3929 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.58342248646265,-58.45751733956853
Bib.Pop. Eurindia,,2828,Bragado 5950  ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.653366,-58.502693
Bib.Pop. Gral. Alvear,,2558,Avellaneda 542 Caballito,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.614349,-58.438515
Bib.Pop. Mariano Boedo,,2177,Maza 755 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.620365,-58.415165
Asoc.Vec. y Bib.Pop. Villa del Parque,,2233,Baigorria 3373  Villa del Parque,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.605793,-58.49456
Bib.Pop. y Cent. Cult. Alfredo Costa,,2111,Azcuenaga 718  Once-Balbanera,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.600857,-58.401001
Bib.Pop. Juan Pablo Echagüe,,1991,Santo Tomé 2496 ,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.601326,-58.481144
Bib.Pop. Gral. Benito Nazar,,2014,Antezana 340 Villa Crespo,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.605183,-58.445007
Bib.Pop. Bernardino Rivadavia,,1943,Directorio 4623  Parque Avellaneda,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.647671,-58.48735
Bib.Pop. 25 de Mayo,,1793,Av.R.Balbín 4221  Saavedra,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.555092,-58.49144
Bib.Pop. El resplandor,,1351,Llerena 2727 Agronomía,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.58651,-58.476261
